fˆrs‰ljning som kan tillskrivas markandsfˆring LTM ;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
H√§nvisande kanal;H√§nvisande medium;Ordrar;Oms√§ttning;Bruttof√∂rs√§ljning;Nettof√∂rs√§ljning;Orders (previous_period);Total sales (previous_period);Gross sales (previous_period);Net sales (previous_period)
google;search;719;447287.72;404104.97;376707.98;889;478779.58;421494.64;403968.33
klaviyo;email/sms;353;219129.93;220606.92;188870.78;411;235976.6;215291.38;201079.75
lykkenytorget;;53;33622;30228.43;27933.38;267;83459.32;77831.8;76662.09
instagram;social;34;20794.16;19090.94;17327.51;36;13426.03;12408.16;11949.38
unattributed;;15;11009.81;9485;9273.84;26;14253.56;12622.38;12315.87
duckduckgo;search;13;8053.96;7381.02;6684.54;12;8455.61;7321.11;7243.11
bing;search;11;6850.53;6696.46;5935.77;19;11618.31;10470.08;10149.33
klaviyo;email;4;3443.86;3520.25;3091.47;4;1548.7;1385.69;1280.98
shop_app;;3;3158.5;2887.51;2820.12;0;0;0;0
yahoo!;search;3;2743.4;2663.84;2295;3;1837.6;1775.9;1591.62
klarna;;2;1810.14;1713.87;1547.33;2;1138.89;939.06;939.06
underconsideration;;1;1487.75;1328.97;1328.97;0;0;0;0
brave;;1;1138.32;1063.86;1063.86;0;0;0;0
office;;1;895.27;813.91;813.91;1;547;488.4;488.4
ecosia;search;1;847.02;854.19;791.58;2;1024;914.29;914.29
chatgpt;;1;840;744.52;744.52;0;0;0;0
riktigtkaffe;;1;834.3;827.66;744.91;0;0;0;0
drawnames;;1;816.3;802.46;722.23;0;0;0;0
cremashop;;1;799;713.39;713.39;0;0;0;0
hotdeals;;1;786;701.79;701.79;0;0;0;0
privacywall;;1;588;525;525;0;0;0;0
temp-mail;;1;257.1;190.88;175.8;1;564.3;559.81;503.84
outlook.com;email;1;253;176.79;176.79;0;0;0;0
milirose;;1;198;124.11;124.11;0;0;0;0
abandoned_cart;email;1;181.65;133.03;113.08;0;0;0;0
trello;;0;0;0;0;1;606.8;575.05;575.05
stripe;;0;0;0;0;1;376;291.96;291.96
pinterest;social;0;0;0;0;1;2084.56;1926.64;1926.64
smart;;0;0;0;0;29;18225.2;15319.39;15245.16
songkick;;0;0;0;0;1;390;367.92;367.92
meta;;0;0;0;0;5;3337.68;3136.07;2771.6
startpage;;0;0;0;0;1;796.4;744.34;744.34
facebook;social;0;0;0;0;79;36252.48;31088.88;30222.17
thesatchisix;;0;0;0;0;5;1404.19;1280.97;1280.97
timesact;;1;0;132.15;-15.85;0;0;0;0
mailanyone;;0;0;0;0;1;666.68;533.34;533.34
kaffesverige;;0;0;0;0;1;317;230.36;230.36
allthingslive;;0;0;0;0;5;2550;2405.66;2405.66
messenger;social;0;0;0;0;1;553.94;492.39;443.2
